Team Name         ,Speech ,Person ,Navigation ,Manipulation ,Total
Ada Robotics	    ,600 ,1100 , 450, , 
BahiaRT	          ,600 ,0    , 0, , 
FBot	            ,600 ,1100 , 1000, , 
Mecha Electra	    ,500 ,0    , 350, , 
Pequi Mecânico	  ,600 ,640  , 450, ,
RoboFEI	          ,600 ,967  , 450, ,
UnipDroidians	    ,0   ,0    , 0, ,
UTBots	          ,600 ,40   , 450, ,
Warthog Robotics	,100 ,0    , 0, ,
